,Inf,Name,Position,Nat,Age,Club,Transfer Value,Wage,Min AP,Min Fee Rls,Min Fee Rls to Foreign Clubs,Personality,Media Handling,Left Foot,Right Foot,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Height,Injury Risk,Expires,,Min Value,Max Value,Avg Value,height_feet,height_inch,height_cm,Months Remaining
2577, Inj , Renaud Ripart                 ," M/AM (RL), ST (C)                ", FRA ,30.0, Troyes                    , £230K - £2.3M   ,10750.0, -       , -           , -                            , Fairly Determined   , Level-headed                , Weak          , Very Strong   ,2.0,12.0,2.0,11.0,12.0,12.0,15.0,13.0,1.0,13.0,13.0,11.0,12.0,17.0,11.0,13.0,13.0,10.0,2.0,14.0,12.0,3.0,13.0,12.0,7.0,12.0,12.0,10.0,8.0,2.0,15.0,14.0,5.0,16.0,12.0,3.0,4.0,8.0,15.0,5.0," 5'11""  ", High        ,2025-06-30, ,230000.0,2300000.0,1265000.0,5,11,180.34,22.0
2579,     , Corentin Tolisso              ," DM, M/AM (C)                     ", FRA ,29.0, OL                        , £425K - £3.7M   ,79000.0, -       , -           , -                            , Resolute            , Level-headed                , Fairly Strong , Very Strong   ,2.0,11.0,1.0,14.0,10.0,14.0,12.0,13.0,2.0,13.0,13.0,12.0,13.0,16.0,10.0,14.0,13.0,12.0,1.0,15.0,13.0,3.0,14.0,14.0,12.0,9.0,11.0,14.0,13.0,3.0,9.0,12.0,12.0,15.0,14.0,3.0,2.0,14.0,11.0,12.0," 5'11""  ", Increased   ,2027-06-30, ,425000.0,3700000.0,2062500.0,5,11,180.34,46.0
2581, Sct , Kasey Palmer                  ," M (C), AM (RLC)                  ", JAM ,26.0, Coventry                  , £1.4M - £2.9M   ,10000.0, £1.4M   , -           , -                            , Fairly Ambitious    , Media-friendly              , Fairly Strong , Very Strong   ,1.0,12.0,2.0,13.0,13.0,12.0,11.0,12.0,3.0,10.0,11.0,10.0,11.0,13.0,13.0,10.0,14.0,18.0,1.0,10.0,10.0,3.0,7.0,11.0,8.0,11.0,11.0,13.0,9.0,1.0,11.0,13.0,8.0,12.0,13.0,3.0,3.0,14.0,12.0,12.0," 5'11""  ", Increased   ,2025-06-30, ,1400000.0,2900000.0,2150000.0,5,11,180.34,22.0
2583,     , Juan Leiva                    ," M (LC), AM (C)                   ", CHI ,29.0, Cobreloa                  , £1.1M - £2.4M   ,4000.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,2.0,11.0,3.0,11.0,12.0,12.0,9.0,12.0,2.0,11.0,12.0,13.0,12.0,12.0,12.0,10.0,13.0,12.0,1.0,9.0,10.0,3.0,10.0,9.0,10.0,12.0,14.0,14.0,12.0,1.0,12.0,12.0,11.0,15.0,13.0,2.0,2.0,13.0,14.0,11.0," 5'11""  ", Low         ,2024-12-31, ,1100000.0,2400000.0,1750000.0,5,11,180.34,16.0
2585,     , Ryan Ledson                   ," DM, M (C)                        ", ENG ,25.0, Preston                   , £230K - £2.3M   ,7500.0, -       , -           , -                            , Balanced            ," Outspoken, Media-friendly   ", Weak          , Very Strong   ,1.0,11.0,1.0,16.0,12.0,13.0,12.0,14.0,2.0,11.0,13.0,7.0,12.0,13.0,9.0,8.0,12.0,10.0,3.0,11.0,9.0,3.0,12.0,12.0,9.0,11.0,10.0,12.0,14.0,3.0,13.0,11.0,12.0,14.0,13.0,3.0,3.0,15.0,16.0,9.0," 5'11""  ", Increased   ,2025-06-30, ,230000.0,2300000.0,1265000.0,5,11,180.34,22.0
2587,     , Kayden Jackson                ," AM (RL), ST (C)                  ", ENG ,29.0, Ipswich                   , £1.2M - £2.5M   ,8000.0, -       , -           , -                            , Fairly Professional , Level-headed                , Weak          , Very Strong   ,2.0,17.0,3.0,8.0,12.0,9.0,10.0,6.0,2.0,8.0,11.0,12.0,12.0,13.0,11.0,12.0,10.0,11.0,2.0,8.0,8.0,2.0,7.0,9.0,4.0,12.0,17.0,8.0,10.0,2.0,12.0,11.0,4.0,13.0,8.0,2.0,4.0,10.0,15.0,6.0," 5'11""  ", Increased   ,2024-06-30, ,1200000.0,2500000.0,1850000.0,5,11,180.34,10.0
2589,     , Cameron Brannagan             ," DM, M/AM (C)                     ", ENG ,27.0, Oxford United             , £240K - £2.4M   ,12000.0, -       , -           , -                            , Resolute            , Level-headed                , Weak          , Very Strong   ,2.0,12.0,1.0,16.0,13.0,13.0,14.0,12.0,3.0,12.0,14.0,10.0,13.0,15.0,11.0,10.0,13.0,12.0,3.0,5.0,7.0,1.0,14.0,13.0,10.0,12.0,12.0,13.0,9.0,2.0,15.0,10.0,11.0,15.0,14.0,1.0,3.0,13.0,15.0,12.0," 5'11""  ", Increased   ,2025-06-30, ,240000.0,2400000.0,1320000.0,5,11,180.34,22.0
2591, Wnt , Mikkel Lassen                 ," D (RLC), WB (RL)                 ", DEN ,22.0, AC Horsens                , £120K - £1.2M   ,1200.0, -       , -           , -                            , Balanced            , Level-headed                , Fairly Strong , Very Strong   ,3.0,13.0,3.0,13.0,11.0,11.0,12.0,13.0,2.0,10.0,9.0,10.0,9.0,13.0,10.0,5.0,11.0,7.0,1.0,11.0,12.0,2.0,12.0,7.0,11.0,8.0,12.0,10.0,11.0,2.0,11.0,10.0,12.0,13.0,11.0,2.0,3.0,8.0,12.0,7.0," 5'11""  ", Normal      ,2024-12-31, ,120000.0,1200000.0,660000.0,5,11,180.34,16.0
2593, Inj , Tayvon Gray                   ," D (RC), WB (R)                   ", USA ,20.0, NYCFC                     , £7.2M - £8.6M   ,5500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,1.0,14.0,3.0,11.0,13.0,11.0,10.0,12.0,3.0,11.0,10.0,9.0,11.0,11.0,10.0,8.0,11.0,10.0,1.0,10.0,12.0,1.0,7.0,7.0,12.0,11.0,13.0,12.0,10.0,1.0,12.0,11.0,13.0,11.0,11.0,2.0,1.0,10.0,12.0,8.0," 5'11""  ", Very High   ,2025-12-31, ,7200000.0,8600000.0,7900000.0,5,11,180.34,28.0
2595,     , Kevin Lasagna                 ," AM (C), ST (C)                   ", ITA ,31.0, Fatih Karagümrük          , £120K - £1.2M   ,21500.0, -       , -           , -                            , Resolute            , Reserved                    , Very Strong   , Reasonable    ,2.0,13.0,3.0,15.0,14.0,13.0,12.0,14.0,3.0,12.0,9.0,11.0,9.0,16.0,12.0,11.0,11.0,12.0,3.0,14.0,10.0,1.0,7.0,11.0,7.0,16.0,13.0,11.0,7.0,2.0,12.0,12.0,7.0,15.0,12.0,2.0,2.0,9.0,16.0,9.0," 5'11""  ", Low         ,2025-06-30, ,120000.0,1200000.0,660000.0,5,11,180.34,22.0
2597,     , Callum Robinson               ," AM (RLC), ST (C)                 ", IRL ,28.0, Cardiff                   , £1M - £2.2M     ,16000.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,1.0,12.0,2.0,7.0,13.0,12.0,13.0,9.0,2.0,11.0,11.0,12.0,11.0,12.0,13.0,12.0,13.0,13.0,4.0,10.0,11.0,2.0,8.0,10.0,7.0,14.0,12.0,12.0,11.0,1.0,12.0,11.0,8.0,15.0,13.0,2.0,1.0,13.0,14.0,9.0," 5'11""  ", Low         ,2025-06-30, ,1000000.0,2200000.0,1600000.0,5,11,180.34,22.0
2599,     , Bruno Tavares                 ," M (R), AM (RL)                   ", POR ,21.0, Pafos                     , £210K - £600K   ,950.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,13.0,2.0,13.0,12.0,11.0,11.0,11.0,2.0,10.0,10.0,12.0,12.0,7.0,13.0,11.0,10.0,10.0,2.0,4.0,8.0,2.0,10.0,8.0,6.0,12.0,12.0,11.0,8.0,1.0,11.0,10.0,5.0,9.0,13.0,1.0,3.0,12.0,10.0,9.0," 5'11""  ", Increased   ,2025-05-31, ,210000.0,600000.0,405000.0,5,11,180.34,21.0
2601, Wnt , Clément Vidal                 , D (C)                            , FRA ,23.0, AC Ajaccio                , £1.1M - £2.3M   ,4100.0, £1.1M   , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,1.0,12.0,2.0,11.0,13.0,12.0,14.0,13.0,1.0,13.0,13.0,9.0,11.0,9.0,8.0,8.0,11.0,5.0,1.0,12.0,11.0,2.0,13.0,11.0,13.0,11.0,12.0,11.0,12.0,3.0,13.0,13.0,12.0,12.0,11.0,3.0,1.0,10.0,12.0,8.0," 5'11""  ", Normal      ,2025-06-30, ,1100000.0,2300000.0,1700000.0,5,11,180.34,22.0
2603,     , Pablo Pagis                   ," AM (RL), ST (C)                  ", FRA ,20.0, Laval MFC                 , £3.1M - £6M     ,2700.0, -       , -           , -                            , Balanced            , Level-headed                , Weak          , Very Strong   ,1.0,14.0,3.0,7.0,13.0,10.0,12.0,12.0,3.0,12.0,13.0,11.0,10.0,10.0,13.0,12.0,11.0,13.0,1.0,10.0,10.0,3.0,7.0,11.0,8.0,11.0,13.0,13.0,8.0,2.0,12.0,8.0,12.0,12.0,13.0,3.0,3.0,12.0,13.0,9.0," 5'11""  ", Low         ,2026-06-30, ,3100000.0,6000000.0,4550000.0,5,11,180.34,34.0
2605,     , Alassane Pléa                 ," AM (LC), ST (C)                  ", FRA ,30.0, Borussia M'gladbach       , £6.2M - £9.2M   ,58000.0, -       , £8.5M       , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,13.0,3.0,15.0,13.0,16.0,14.0,10.0,1.0,10.0,15.0,11.0,13.0,12.0,12.0,13.0,15.0,13.0,1.0,12.0,11.0,1.0,10.0,15.0,6.0,14.0,13.0,15.0,6.0,1.0,12.0,13.0,6.0,11.0,16.0,3.0,1.0,16.0,10.0,11.0," 5'11""  ", Low         ,2025-06-30, ,6200000.0,9200000.0,7700000.0,5,11,180.34,22.0
2607, Inj , Luke Thomas                   , D/WB (L)                         , ENG ,22.0, Middlesbrough             , £15M - £17.5M   ,20000.0, -       , -           , -                            , Fairly Loyal        , Level-headed                , Very Strong   , Reasonable    ,3.0,13.0,1.0,8.0,12.0,13.0,9.0,11.0,2.0,12.0,13.0,12.0,13.0,14.0,11.0,10.0,12.0,7.0,2.0,10.0,11.0,1.0,9.0,11.0,13.0,11.0,13.0,13.0,12.0,3.0,15.0,10.0,12.0,13.0,13.0,3.0,2.0,11.0,16.0,10.0," 5'11""  ", High        ,2026-06-30, ,15000000.0,17500000.0,16250000.0,5,11,180.34,34.0
2609,     , Andre Dozzell                 ," DM, M (C)                        ", ENG ,24.0, Birmingham                , £100K - £1M     ,10000.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Weak          ,2.0,11.0,1.0,8.0,12.0,10.0,13.0,10.0,3.0,11.0,15.0,11.0,14.0,13.0,11.0,8.0,14.0,13.0,3.0,7.0,7.0,1.0,5.0,9.0,7.0,13.0,10.0,15.0,9.0,2.0,12.0,9.0,8.0,14.0,14.0,3.0,3.0,16.0,13.0,11.0," 5'11""  ", Increased   ,2024-06-30, ,100000.0,1000000.0,550000.0,5,11,180.34,10.0
2611,     , Edgar Badía                   , GK                               , ESP ,31.0, Zaragoza                  , £5M - £7.4M     ,18750.0, -       , £19M        , -                            , Professional        , Level-headed                , Reasonable    , Very Strong   ,15.0,11.0,10.0,3.0,16.0,12.0,9.0,15.0,11.0,14.0,12.0,2.0,13.0,13.0,3.0,3.0,11.0,14.0,12.0,5.0,11.0,12.0,10.0,2.0,1.0,10.0,10.0,13.0,14.0,19.0,11.0,10.0,3.0,10.0,10.0,11.0,14.0,9.0,11.0,1.0," 5'11""  ", Low         ,2025-06-30, ,5000000.0,7400000.0,6200000.0,5,11,180.34,22.0
2613,     , John Lundstram                ," DM, M (C)                        ", ENG ,29.0, Rangers                   , £5.4M - £8.2M   ,22000.0, -       , -           , -                            , Resolute            , Level-headed                , Fairly Strong , Very Strong   ,1.0,14.0,1.0,15.0,10.0,12.0,11.0,14.0,3.0,11.0,14.0,11.0,12.0,17.0,11.0,11.0,11.0,8.0,3.0,6.0,11.0,3.0,14.0,10.0,12.0,11.0,13.0,13.0,13.0,2.0,18.0,12.0,12.0,14.0,12.0,4.0,1.0,13.0,16.0,9.0," 5'11""  ", Increased   ,2024-05-31, ,5400000.0,8199999.999999999,6800000.0,5,11,180.34,9.0
2615,     , Luka Menalo                   , AM (RL)                          , BIH ,27.0, Celje                     , £120K - £1.2M   ,2000.0, -       , -           , -                            , Fairly Professional , Reserved                    , Fairly Strong , Very Strong   ,2.0,15.0,2.0,6.0,14.0,11.0,9.0,6.0,1.0,10.0,11.0,11.0,8.0,11.0,12.0,12.0,11.0,12.0,2.0,11.0,10.0,1.0,4.0,10.0,5.0,13.0,13.0,12.0,7.0,2.0,11.0,7.0,6.0,12.0,13.0,3.0,1.0,10.0,15.0,12.0," 5'11""  ", Low         ,2026-06-15, ,120000.0,1200000.0,660000.0,5,11,180.34,33.0
2617,     , Callum Brittain               , D/WB (RL)                        , ENG ,25.0, Blackburn                 , £2.8M - £5.6M   ,12500.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,1.0,12.0,3.0,11.0,13.0,12.0,13.0,11.0,1.0,12.0,12.0,13.0,11.0,12.0,12.0,7.0,12.0,12.0,1.0,9.0,10.0,2.0,10.0,7.0,12.0,13.0,12.0,12.0,12.0,3.0,15.0,10.0,12.0,14.0,13.0,1.0,3.0,11.0,14.0,10.0," 5'11""  ", Increased   ,2026-06-30, ,2800000.0,5600000.0,4200000.0,5,11,180.34,34.0
2619,     , Jack Clarke                   ," M (R), AM (RL)                   ", ENG ,22.0, Sunderland                , £10.5M - £15.5M ,28000.0, -       , £19.25M     , -                            , Spirited            , Media-friendly              , Reasonable    , Very Strong   ,3.0,16.0,3.0,8.0,15.0,12.0,14.0,6.0,3.0,8.0,14.0,15.0,11.0,14.0,16.0,14.0,13.0,16.0,3.0,6.0,9.0,1.0,6.0,14.0,4.0,13.0,15.0,13.0,6.0,3.0,11.0,7.0,5.0,12.0,15.0,2.0,2.0,12.0,11.0,5.0," 5'11""  ", High        ,2027-06-30, ,10500000.0,15500000.0,13000000.0,5,11,180.34,46.0
2621,     , Yegor Prutsev                 , AM (RLC)                         , RUS ,20.0, Celje                     , £130K - £1.3M   ,2400.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Very Strong   ,1.0,12.0,4.0,8.0,13.0,10.0,10.0,10.0,3.0,11.0,11.0,11.0,12.0,7.0,12.0,10.0,10.0,10.0,2.0,6.0,9.0,4.0,9.0,12.0,5.0,10.0,12.0,11.0,5.0,2.0,12.0,5.0,5.0,12.0,13.0,1.0,3.0,9.0,12.0,11.0," 5'11""  ", Low         ,2026-06-30, ,130000.0,1300000.0,715000.0,5,11,180.34,34.0
2623,     , Josh Eccles                   ," D/WB (R), DM, M (C)              ", ENG ,23.0, Coventry                  , £750K - £8.6M   ,4500.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,2.0,12.0,3.0,14.0,11.0,11.0,11.0,12.0,2.0,11.0,12.0,11.0,14.0,13.0,11.0,9.0,11.0,10.0,3.0,11.0,10.0,3.0,7.0,9.0,12.0,10.0,11.0,14.0,11.0,3.0,15.0,9.0,13.0,15.0,12.0,2.0,3.0,13.0,14.0,10.0," 5'11""  ", High        ,2027-06-30, ,750000.0,8600000.0,4675000.0,5,11,180.34,46.0
2625, Inj , Ryan Fredericks               , D/WB/M/AM (R)                    , SCO ,30.0, Bournemouth               , £275K - £2.8M   ,35000.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,3.0,17.0,2.0,14.0,14.0,12.0,10.0,10.0,1.0,12.0,11.0,14.0,12.0,12.0,13.0,7.0,9.0,14.0,3.0,10.0,8.0,3.0,10.0,7.0,11.0,14.0,17.0,12.0,10.0,3.0,13.0,9.0,13.0,12.0,11.0,3.0,1.0,8.0,14.0,5.0," 5'11""  ", High        ,2024-06-30, ,275000.0,2800000.0,1537500.0,5,11,180.34,10.0
2629,     , Joris van Overeem             ," DM, M/AM (C)                     ", ISR ,29.0, Maccabi Tel-Aviv          , £230K - £2.3M   ,8250.0, -       , -           , -                            , Balanced            , Level-headed                , Reasonable    , Very Strong   ,3.0,12.0,3.0,12.0,14.0,14.0,12.0,15.0,2.0,12.0,12.0,11.0,13.0,14.0,14.0,7.0,12.0,9.0,1.0,8.0,9.0,1.0,9.0,7.0,9.0,12.0,12.0,14.0,12.0,2.0,15.0,12.0,10.0,15.0,12.0,2.0,3.0,15.0,14.0,10.0," 5'11""  ", Normal      ,2025-05-31, ,230000.0,2300000.0,1265000.0,5,11,180.34,21.0
2631, Sct , Keita Baldé                   ," AM (RLC), ST (C)                 ", SEN ,28.0, Espanyol                  , £100K - £3.9M   ,41000.0, £105K   , -           , -                            , Driven              , Media-friendly              , Reasonable    , Very Strong   ,2.0,16.0,2.0,12.0,14.0,12.0,13.0,10.0,1.0,9.0,9.0,9.0,10.0,18.0,13.0,12.0,13.0,16.0,3.0,10.0,12.0,3.0,10.0,9.0,4.0,14.0,15.0,13.0,4.0,3.0,12.0,12.0,2.0,10.0,15.0,2.0,1.0,12.0,12.0,10.0," 5'11""  ", Low         ,2025-06-30, ,100000.0,3900000.0,2000000.0,5,11,180.34,22.0
2633, Inj , Daniel Maldini                ," AM (RLC), ST (C)                 ", ITA ,21.0, Brianza                   , £140K - £6M     ,9250.0, -       , -           , -                            , Resolute            , Reserved                    , Reasonable    , Very Strong   ,1.0,13.0,3.0,9.0,13.0,13.0,11.0,12.0,1.0,11.0,12.0,12.0,11.0,15.0,12.0,10.0,12.0,12.0,1.0,13.0,10.0,2.0,7.0,11.0,6.0,14.0,13.0,12.0,7.0,1.0,12.0,11.0,7.0,11.0,13.0,2.0,2.0,11.0,11.0,13.0," 5'11""  ", High        ,2024-06-30, ,140000.0,6000000.0,3070000.0,5,11,180.34,10.0
2635,     , Mario Ćurić                   ," DM, M/AM (C)                     ", CRO ,24.0, Torpedo Moscow            , £120K - £1.2M   ,10750.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,2.0,13.0,3.0,15.0,13.0,13.0,12.0,13.0,2.0,12.0,9.0,10.0,10.0,4.0,13.0,10.0,11.0,13.0,3.0,9.0,9.0,4.0,10.0,13.0,9.0,12.0,13.0,11.0,10.0,2.0,14.0,12.0,10.0,12.0,12.0,3.0,3.0,11.0,12.0,12.0," 5'11""  ", Low         ,2025-06-30, ,120000.0,1200000.0,660000.0,5,11,180.34,22.0
2637,     , Andy Yiadom                   ," D (RLC), WB (RL)                 ", GHA ,31.0, Reading                   , £180K - £1.8M   ,3000.0, -       , -           , -                            , Model Citizen       , Unflappable                 , Reasonable    , Very Strong   ,1.0,13.0,1.0,15.0,10.0,12.0,11.0,17.0,1.0,12.0,12.0,10.0,9.0,15.0,10.0,9.0,12.0,10.0,1.0,12.0,10.0,4.0,16.0,7.0,13.0,11.0,12.0,10.0,10.0,3.0,13.0,13.0,14.0,14.0,9.0,1.0,2.0,9.0,15.0,8.0," 5'11""  ", Increased   ,2025-06-30, ,180000.0,1800000.0,990000.0,5,11,180.34,22.0
2639,     , Brandon Soppy                 ," D/WB (RL), M (R)                 ", FRA ,21.0, Schalke 04                , £4.3M - £6.4M   ,14750.0, -       , -           , -                            , Balanced            , Media-friendly              , Reasonable    , Very Strong   ,3.0,15.0,1.0,14.0,15.0,10.0,12.0,13.0,2.0,10.0,11.0,12.0,9.0,13.0,11.0,6.0,11.0,13.0,1.0,9.0,11.0,1.0,8.0,8.0,10.0,10.0,16.0,11.0,11.0,4.0,14.0,13.0,10.0,13.0,11.0,4.0,2.0,10.0,12.0,7.0," 5'11""  ", Low         ,2026-06-30, ,4300000.0,6400000.0,5350000.0,5,11,180.34,34.0
2641, Wnt , Christian Viet                ," D/WB (R), M (RC)                 ", GER ,24.0, Regensburg                , £110K - £350K   ,4900.0, -       , -           , -                            , Balanced            , Media-friendly              , Weak          , Very Strong   ,1.0,14.0,2.0,5.0,14.0,9.0,11.0,10.0,3.0,11.0,10.0,12.0,14.0,14.0,10.0,6.0,13.0,6.0,2.0,11.0,11.0,3.0,12.0,7.0,12.0,10.0,14.0,14.0,12.0,1.0,14.0,7.0,12.0,11.0,9.0,3.0,2.0,13.0,14.0,9.0," 5'11""  ", Increased   ,2024-06-30, ,110000.0,350000.0,230000.0,5,11,180.34,10.0
2643, Wnt , Marko Divković                ," D/WB (L), AM (RL), ST (C)        ", CRO ,24.0, Brøndby IF                , £325K - £3.2M   ,7250.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Fairly Strong ,3.0,14.0,2.0,12.0,11.0,12.0,11.0,10.0,2.0,9.0,11.0,11.0,10.0,13.0,13.0,12.0,13.0,13.0,2.0,9.0,10.0,1.0,7.0,10.0,7.0,14.0,13.0,12.0,8.0,3.0,9.0,8.0,7.0,12.0,11.0,2.0,2.0,13.0,10.0,8.0," 5'11""  ", Normal      ,2026-06-30, ,325000.0,3200000.0,1762500.0,5,11,180.34,34.0
2645,     , Samuel Giovane                ," WB (L), M (LC)                   ", ITA ,20.0, Ascoli                    , £350K - £3.4M   ,5750.0, -       , -           , -                            , Fairly Determined   , Media-friendly              , Very Strong   , Weak          ,2.0,12.0,3.0,12.0,12.0,14.0,12.0,13.0,2.0,12.0,12.0,12.0,12.0,15.0,12.0,9.0,12.0,9.0,3.0,9.0,11.0,2.0,13.0,9.0,12.0,12.0,12.0,13.0,9.0,3.0,12.0,11.0,12.0,12.0,12.0,4.0,3.0,13.0,12.0,10.0," 5'11""  ", Increased   ,2025-06-30, ,350000.0,3400000.0,1875000.0,5,11,180.34,22.0
2647,     , Valerio Verre                 , M/AM (C)                         , ITA ,29.0, Sampdoria                 , £300K - £3M     ,21500.0, -       , -           , -                            , Fairly Sporting     , Level-headed                , Strong        , Very Strong   ,2.0,13.0,3.0,10.0,13.0,13.0,11.0,10.0,3.0,13.0,11.0,11.0,12.0,12.0,13.0,9.0,13.0,15.0,1.0,6.0,10.0,2.0,10.0,12.0,6.0,15.0,11.0,13.0,10.0,1.0,12.0,10.0,9.0,11.0,13.0,3.0,4.0,13.0,12.0,13.0," 5'11""  ", Low         ,2025-06-30, ,300000.0,3000000.0,1650000.0,5,11,180.34,22.0
2649,     , Mariano Guarracino            , M/AM (R)                         , ITA ,21.0, Juve Stabia               , £160K - £475K   ,1200.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,1.0,13.0,3.0,16.0,12.0,9.0,10.0,11.0,3.0,11.0,8.0,9.0,11.0,14.0,12.0,11.0,10.0,10.0,2.0,8.0,10.0,2.0,3.0,11.0,6.0,12.0,13.0,12.0,8.0,1.0,12.0,10.0,8.0,12.0,12.0,1.0,3.0,11.0,12.0,8.0," 5'11""  ", Increased   ,2025-06-30, ,160000.0,475000.0,317500.0,5,11,180.34,22.0
2651, Inj , Christoffer Boateng           ," M (RL), AM (RLC)                 ", DEN ,28.0, Fremad Amager             , £220K - £650K   ,1300.0, -       , -           , -                            , Balanced            , Level-headed                , Very Strong   , Reasonable    ,3.0,13.0,3.0,6.0,13.0,13.0,10.0,7.0,3.0,10.0,13.0,12.0,12.0,14.0,13.0,11.0,12.0,13.0,1.0,9.0,10.0,1.0,10.0,12.0,5.0,11.0,12.0,9.0,3.0,2.0,8.0,7.0,9.0,7.0,13.0,2.0,3.0,11.0,7.0,13.0," 5'11""  ", High        ,2025-06-30, ,220000.0,650000.0,435000.0,5,11,180.34,22.0
2653, Inj , Frederik Lauenborg            ," DM, M (C)                        ", DEN ,26.0, Randers FC                , £200K - £2M     ,2000.0, -       , -           , -                            , Fairly Loyal        , Outspoken                   , Very Strong   , Weak          ,2.0,10.0,4.0,15.0,11.0,14.0,11.0,12.0,1.0,14.0,14.0,10.0,13.0,13.0,8.0,8.0,12.0,10.0,3.0,10.0,11.0,2.0,16.0,6.0,14.0,12.0,10.0,12.0,14.0,2.0,14.0,15.0,14.0,15.0,12.0,1.0,1.0,12.0,18.0,9.0," 5'11""  ", High        ,2026-06-30, ,200000.0,2000000.0,1100000.0,5,11,180.34,34.0
2655,     , Nassim Ouammou                , D/WB/M/AM (L)                    , FRA ,30.0, Maccabi Netanya           , £110K - £1.1M   ,2200.0, -       , -           , -                            , Balanced            , Media-friendly              , Very Strong   , Weak          ,4.0,13.0,1.0,8.0,13.0,12.0,12.0,10.0,2.0,12.0,11.0,12.0,11.0,10.0,12.0,7.0,11.0,10.0,1.0,8.0,10.0,3.0,6.0,9.0,9.0,13.0,12.0,12.0,10.0,3.0,12.0,8.0,10.0,11.0,12.0,2.0,2.0,12.0,13.0,13.0," 5'11""  ", Low         ,2024-05-31, ,110000.0,1100000.0,605000.0,5,11,180.34,9.0
